5708,6116,5903,4842,5611,4869,5247,4736,4983,4990,3591,4878,5235,4091,3793,3316,3139,3491,2378,2419,2379,3123,-21,1287,954,-40,807,540,-328,-102,-641,-1262,-766,-374,-1288,-2400,-2161,-1829
4009,3775,3195,4048,3791,2512,2805,3677,2357,2421,3150,3525,4320,2360,3377,1522,2895,3268,3609,3604,2217,2223,4102,3317,3797,3750,3682,3072,1313,3141,2518,2401,3299,3356,1830,1995,2546,2956
-1056,-2043,-2577,-2599,-1149,3336,-1419,304,843,2085,473,3998,1163,1484,-882,5603,853,4874,3497,2599,4218,2678,2640,3696,2756,4895,4900,5388,6030,8833,3637,6241,641,5860,3536,2034,7426,3448
760,1155,925,904,305,626,345,437,-196,-1213,-650,-2056,777,-829,2748,961,-369,1816,-14,-910,-59,301,-2444,-953,1163,1010,-2175,208,116,-36,865,-814,-1785,-661,189,1231,-64,-1812
