-0.091,0.0353,-0.0084,0.1,-0.3,0,0.06
-0.0916,-0.0013,0.0093,0.1,-0.6,0,0.06
-0.0745,-0.0185,0.0038,0.1,-0.9,0,0.06
-0.1008,-0.0148,-0.0225,0,-1.2,-0.1,0.06
0.0348,0.0298,-0.0121,0.1,-1.1,-0.1,0.06
-0.0232,0.0206,-0.0145,0.2,-1.2,-0.2,0.06
0.0159,0.0176,0.0007,0.2,-1.1,-0.2,0.06
-0.0049,-0.0221,-0.0066,0.2,-1.2,-0.2,0.06
-0.0653,-0.0172,0.0197,0.1,-1.4,-0.1,0.06
0.0581,0.0048,0.0203,0.1,-1.2,0,0.06
-0.0488,0.0261,0.0221,0.2,-1.4,0,0.0648
0.0037,-0.0282,0.0093,0.1,-1.3,0.1,0.0601
-0.0036,-0.0575,0.0246,-0.1,-1.4,0.2,0.0601
0.0061,0.0176,0.0362,0,-1.3,0.3,0.0601
0.0275,-0.0166,0.0227,-0.1,-1.2,0.4,0.0601
-0.0226,-0.0496,-0.0677,-0.2,-1.3,0.1,0.06
-0.0042,-0.0459,-0.028,-0.4,-1.3,0,0.06
0.0135,-0.0447,-0.0341,-0.6,-1.3,-0.1,0.06
-0.0666,-0.1082,-0.0995,-0.9,-1.5,-0.4,0.06
-0.0201,-0.1736,-0.2485,-1.5,-1.6,-1.3,0.06
0.0434,-0.2897,-0.4391,-2.5,-1.4,-2.8,0.06
0.0196,-0.3288,-0.6004,-3.7,-1.4,-4.9,0.06
0.0452,-0.4852,-0.7641,-5.3,-1.2,-7.5,0.06
-0.0776,-0.6073,-1.0249,-7.4,-1.5,-11,0.06
0.0446,-0.6189,-1.1721,-9.5,-1.3,-15,0.06
0.0263,-0.6556,-1.3358,-11.8,-1.2,-19.6,0.06
0.1204,-0.6544,-1.3389,-14,-0.8,-24.2,0.06
0.0074,-0.6745,-1.4226,-16.4,-0.8,-29.1,0.06
0.0092,-0.8272,-1.4,-19.2,-0.8,-33.9,0.06
0.1167,-0.8963,-1.4006,-22.3,-0.4,-38.8,0.06
-0.1044,-0.9286,-1.4623,-25.5,-0.7,-43.8,0.06
0.0135,-0.9146,-1.5197,-28.6,-0.7,-49,0.06
0.0336,-0.8792,-1.4763,-31.7,-0.6,-54.1,0.06
0.0868,-0.9427,-1.444,-34.9,-0.3,-59.1,0.06
0.1246,-0.782,-1.4324,-37.6,0.2,-64,0.06
0.1271,-0.7723,-1.3511,-40.2,0.6,-68.6,0.06
0.1051,-0.7729,-1.2717,-42.9,1,-73,0.06
0.1686,-0.7197,-0.9803,-45.4,1.5,-76.4,0.06
-0.1557,-0.7539,-0.9779,-48,1,-79.7,0.06
0.0788,-0.5194,-0.7354,-49.8,1.3,-82.3,0.06
-0.0812,-0.4497,-0.6358,-51.3,1,-84.4,0.06
-0.1044,-0.2048,-0.3627,-52,0.6,-85.7,0.06
-0.0403,-0.0166,-0.2076,-52.1,0.5,-86.4,0.06
0.077,-0.0343,-0.0451,-52.2,0.8,-86.6,0.06
0.0416,0.0707,0.0258,-51.9,0.9,-86.5,0.06
0.1228,0.0768,0.041,-51.7,1.3,-86.3,0.06
-0.0207,0.1166,0.0716,-51.3,1.3,-86.1,0.06
0.1802,0.0811,0.1724,-51,1.9,-85.5,0.06
-0.0745,0.0396,0.0007,-50.9,1.6,-85.5,0.06
0.1179,0.083,0.049,-50.6,2,-85.3,0.06
0.0678,-0.027,0.0429,-50.7,2.3,-85.2,0.06
0.1619,-0.0942,-0.017,-51,2.8,-85.2,0.06
-0.0073,0.0304,-0.0237,-50.9,2.8,-85.3,0.06
-0.003,-0.0026,-0.028,-50.9,2.8,-85.4,0.06
-0.0873,-0.0185,-0.0182,-51,2.5,-85.5,0.06
-0.0837,0.0115,0.0349,-50.9,2.2,-85.4,0.06
-0.0708,-0.0026,0.0288,-50.9,2,-85.3,0.06
-0.0342,-0.0258,0.0184,-51,1.8,-85.2,0.06
0.0129,0.0151,0.0184,-51,1.9,-85.1,0.06
0.0794,-0.0637,0.0197,-51.2,2.2,-85.1,0.06
-0.0146,0.0316,0.0221,-51.1,2.1,-85,0.06
0.0397,0.0121,0.027,-51,2.2,-84.9,0.06
0.011,0.0384,0.0081,-50.9,2.3,-84.9,0.06
-0.0097,0.0219,-0.0579,-50.8,2.2,-85.1,0.06
0.008,0.0072,-0.0164,-50.8,2.3,-85.1,0.06
0.0043,0.0096,0.0136,-50.8,2.3,-85.1,0.06
-0.0378,0.0078,0.0068,-50.7,2.2,-85.1,0.06
-0.0226,0.0103,-0.0237,-50.7,2.1,-85.1,0.06
-0.0061,0.009,-0.0158,-50.7,2.1,-85.2,0.06
-0.0275,-0.0044,-0.028,-50.7,2,-85.3,0.06
-0.0305,0.0054,-0.0182,-50.7,1.9,-85.3,0.06
