DATE,TIME,SEC,RUNTIME(ms),PTNUM,SSID,BSSID,RttStatus,Distance(Mm),DistanceStdDev(Mm),Rssi,timestamp,NumAttemptedMeasurements,NumSuccessfulMeasurements,,
20200519,1717,46718,4373,0,COMPULAB_03,38:00:25:55:d3:db,0,3475,2182,-53,2380668,8,7,,
20200519,1717,46718,4373,0,COMPULAB_02,38:00:25:55:d7:f0,0,2976,925,-52,2380668,8,7,,
20200519,1717,46718,4373,0,COMPULAB_01,38:00:25:55:d6:d8,0,1432,528,-45,2380668,8,7,,
20200519,1717,47001,4644,0,COMPULAB_04,38:00:25:55:c7:06,0,-865,1049,-56,2380921,8,7,,
20200519,1717,47001,4644,0,COMPULAB_03,38:00:25:55:d3:db,0,5028,2423,-55,2380921,8,7,,
20200519,1717,47001,4644,0,COMPULAB_02,38:00:25:55:d7:f0,0,2991,257,-53,2380921,8,7,,
20200519,1717,47001,4644,0,COMPULAB_01,38:00:25:55:d6:d8,0,1122,533,-52,2380921,8,7,,
20200519,1717,47124,4762,0,COMPULAB_04,38:00:25:55:c7:06,0,-2089,1567,-49,2381048,8,7,,
20200519,1717,47124,4762,0,COMPULAB_03,38:00:25:55:d3:db,0,5847,1569,-61,2381048,8,7,,
20200519,1717,47124,4762,0,COMPULAB_02,38:00:25:55:d7:f0,0,514,1998,-53,2381048,8,7,,
20200519,1717,47124,4762,0,COMPULAB_01,38:00:25:55:d6:d8,0,1251,2631,-53,2381048,8,7,,
20200519,1717,47251,4890,0,COMPULAB_04,38:00:25:55:c7:06,0,-758,1152,-58,2381176,8,7,,
20200519,1717,47251,4890,0,COMPULAB_03,38:00:25:55:d3:db,0,3773,2253,-57,2381176,8,7,,
20200519,1717,47251,4890,0,COMPULAB_02,38:00:25:55:d7:f0,0,2920,830,-51,2381176,8,7,,
20200519,1717,47251,4890,0,COMPULAB_01,38:00:25:55:d6:d8,0,2360,830,-50,2381176,8,7,,
20200519,1717,48165,5817,0,COMPULAB_04,38:00:25:55:c7:06,0,-622,887,-49,2382074,8,7,,
20200519,1717,48165,5817,0,COMPULAB_03,38:00:25:55:d3:db,0,5782,728,-54,2382074,8,7,,
20200519,1717,48165,5817,0,COMPULAB_02,38:00:25:55:d7:f0,0,1966,420,-57,2382074,8,7,,
20200519,1717,48165,5817,0,COMPULAB_01,38:00:25:55:d6:d8,0,1468,1276,-57,2382074,8,7,,
20200519,1717,48643,6216,0,COMPULAB_04,38:00:25:55:c7:06,0,-710,1165,-48,2382568,8,7,,
20200519,1717,48643,6216,0,COMPULAB_03,38:00:25:55:d3:db,0,4500,1270,-63,2382568,8,7,,
20200519,1717,48643,6216,0,COMPULAB_02,38:00:25:55:d7:f0,0,2992,480,-52,2382568,8,7,,
20200519,1717,48643,6216,0,COMPULAB_01,38:00:25:55:d6:d8,0,-547,1099,-49,2382568,8,7,,
20200519,1717,48769,6354,0,COMPULAB_04,38:00:25:55:c7:06,0,-1181,1449,-48,2382683,8,7,,
20200519,1717,48769,6354,0,COMPULAB_03,38:00:25:55:d3:db,0,7297,449,-57,2382683,8,7,,
20200519,1717,48769,6354,0,COMPULAB_02,38:00:25:55:d7:f0,0,2340,751,-51,2382683,8,7,,
20200519,1717,48769,6354,0,COMPULAB_01,38:00:25:55:d6:d8,0,-462,735,-48,2382682,8,7,,
20200519,1717,49552,7117,0,COMPULAB_04,38:00:25:55:c7:06,0,-1533,2386,-60,2383482,8,7,,
20200519,1717,49552,7117,0,COMPULAB_03,38:00:25:55:d3:db,0,4117,1382,-57,2383482,8,7,,
20200519,1717,49552,7117,0,COMPULAB_02,38:00:25:55:d7:f0,0,3088,680,-56,2383482,8,7,,
20200519,1717,49552,7117,0,COMPULAB_01,38:00:25:55:d6:d8,0,588,654,-50,2383482,8,7,,
